Row_Col_Event,EventTime,ConfidenceIndex,QualityLevel
r6_c9_ev3,0.188,0.78953,Indeterminant
r6_c9_ev4,0.25999,0.99976,High
r6_c9_ev5,0.35901,0.99965,High
r6_c9_ev6,0.54538,0.93147,High
r6_c9_ev7,0.56499,0.99905,High
r6_c9_ev8,0.669,0.99974,High
r6_c9_ev9,0.77001,0.99958,High
r6_c9_ev10,0.98005,0.99969,High
r7_c1_ev1,0.051081,0.99977,High
r7_c1_ev2,0.151,0.99965,High
r7_c1_ev3,0.258,0.99977,High
r7_c1_ev4,0.31439,0.93168,High
r7_c1_ev5,0.36299,0.99966,High
r7_c1_ev6,0.462,0.99958,High
r7_c1_ev7,0.56894,0.99968,High
r7_c1_ev8,0.627,0.78981,Indeterminant
r7_c1_ev9,0.67098,0.99938,High
r7_c1_ev10,0.771,0.99967,High
r7_c1_ev11,0.873,0.99967,High
r7_c1_ev12,0.98007,0.99961,High
r7_c2_ev1,0.053178,0.99881,High
r7_c2_ev2,0.15299,0.99995,High
r7_c2_ev3,0.191,0.78929,Indeterminant
r7_c2_ev4,0.361,0.99968,High
r7_c2_ev5,0.465,0.99968,High
r7_c2_ev6,0.564,0.99959,High
r7_c2_ev7,0.668,0.99965,High
r7_c2_ev8,0.771,0.99966,High
r7_c2_ev9,0.87599,0.99901,High
r7_c2_ev10,0.93937,0.9324,High
r7_c2_ev11,0.97502,0.98679,High
r7_c3_ev1,0.46402,0.99962,High
r7_c3_ev2,0.50838,0.93197,High
r7_c3_ev3,0.818,0.78958,Indeterminant
r7_c4_ev1,0.151,0.99968,High
r7_c4_ev2,0.259,0.99957,High
r7_c4_ev3,0.32438,0.93171,High
r7_c4_ev4,0.461,0.99961,High
r7_c4_ev5,0.543,0.7889,Indeterminant
r7_c4_ev6,0.56308,0.99986,High
r7_c4_ev7,0.667,0.99946,High
r7_c4_ev8,0.874,0.99968,High
r7_c5_ev1,0.052054,0.99788,High
r7_c5_ev2,0.153,0.99966,High
r7_c5_ev3,0.25991,0.99938,High
r7_c5_ev4,0.279,0.78888,Indeterminant
r7_c5_ev5,0.35699,0.99986,High
r7_c5_ev6,0.43838,0.9321,High
r7_c5_ev7,0.46601,0.99983,High
r7_c5_ev8,0.566,0.99966,High
r7_c5_ev9,0.671,0.99968,High
r7_c5_ev10,0.774,0.99967,High
r7_c5_ev11,0.876,0.99966,High
r7_c5_ev12,0.97704,0.99844,High
r7_c6_ev1,0.088,0.79374,Indeterminant
r7_c6_ev2,0.256,0.99968,High
r7_c6_ev3,0.567,0.99965,High
r7_c6_ev4,0.668,0.99966,High
r7_c6_ev5,0.876,0.99917,High
r7_c6_ev6,0.94037,0.93233,High
r7_c7_ev1,0.153,0.99969,High
r7_c7_ev2,0.26,0.99967,High
r7_c7_ev3,0.461,0.99967,High
r7_c7_ev4,0.668,0.99956,High
r7_c7_ev5,0.842,0.78887,Indeterminant
r7_c7_ev6,0.87705,0.9993,High
r7_c7_ev7,0.92437,0.9324,High
r7_c8_ev1,0.052107,0.99811,High
r7_c8_ev2,0.15706,0.99846,High
r7_c8_ev3,0.216,0.78961,Indeterminant
r7_c8_ev4,0.25907,0.99981,High
r7_c8_ev5,0.357,0.99968,High
r7_c8_ev6,0.46302,0.99911,High
r7_c8_ev7,0.50938,0.93202,High
r7_c8_ev8,0.56701,0.99975,High
r7_c8_ev9,0.67,0.99967,High
r7_c8_ev10,0.77,0.99968,High
r7_c8_ev11,0.878,0.99965,High
r7_c8_ev12,0.97817,0.99287,High
r7_c9_ev1,0.050067,0.99598,High
r7_c9_ev2,0.099,0.78928,Indeterminant
r7_c9_ev3,0.15699,0.9996,High
r7_c9_ev4,0.36,0.99958,High
r7_c9_ev5,0.70438,0.93186,High
r7_c9_ev6,0.772,0.99956,High
r8_c1_ev1,0.049077,0.99944,High
r8_c1_ev2,0.155,0.99966,High
r8_c1_ev3,0.357,0.99966,High
r8_c1_ev4,0.462,0.99973,High
r8_c1_ev5,0.563,0.99942,High
r8_c1_ev6,0.64138,0.93212,High
r8_c1_ev7,0.66802,0.99997,High
r8_c1_ev8,0.774,0.99968,High
r8_c1_ev9,0.87401,0.9995,High
r8_c1_ev10,0.91,0.78823,Indeterminant
r8_c1_ev11,0.97503,0.99535,High
r8_c2_ev1,0.051996,0.9961,High
r8_c2_ev2,0.155,0.99963,High
r8_c2_ev3,0.257,0.99968,High
r8_c2_ev4,0.36101,0.99969,High
r8_c2_ev5,0.40538,0.93208,High
r8_c2_ev6,0.464,0.99978,High
r8_c2_ev7,0.564,0.99965,High
r8_c2_ev8,0.673,0.99967,High
r8_c2_ev9,0.877,0.99998,High
r8_c2_ev10,0.924,0.78988,Indeterminant
r8_c2_ev11,0.97833,0.99519,High
r8_c3_ev1,0.426,0.77836,Indeterminant
r8_c4_ev1,0.153,0.99962,High
r8_c4_ev2,0.25998,0.9999,High
r8_c4_ev3,0.32938,0.93195,High
r8_c4_ev4,0.464,0.99974,High
r8_c4_ev5,0.564,0.9996,High
r8_c4_ev6,0.66895,0.99912,High
r8_c4_ev7,0.695,0.78989,Indeterminant
r8_c4_ev8,0.877,0.99964,High
r8_c5_ev1,0.049069,0.99909,High
r8_c5_ev2,0.15598,0.99972,High
r8_c5_ev3,0.19339,0.93158,High
r8_c5_ev4,0.257,0.99966,High
r8_c5_ev5,0.362,0.99973,High
r8_c5_ev6,0.464,0.99973,High
r8_c5_ev7,0.568,0.99965,High
r8_c5_ev8,0.673,0.99973,High
r8_c5_ev9,0.772,0.99957,High
